41.70.0.0,41.70.127.255,32768,25/08/14,
41.75.112.0,41.75.127.255,4096,12/01/11,
41.87.0.0,41.87.31.255,8192,09/07/10,
41.221.96.0,41.221.111.255,4096,08/08/07,
105.234.0.0,105.234.255.255,65536,25/11/12,
168.253.224.0,168.253.255.255,8192,16/02/15,
196.220.208.0,196.220.223.255,4096,10/03/11,
197.211.96.0,197.211.127.255,8192,27/02/13,

