41.75.160.0,41.75.175.255,4096,04/01/11,
41.84.192.0,41.84.223.255,8192,04/11/10,
41.138.0.0,41.138.31.255,8192,26/06/09,
41.138.208.0,41.138.223.255,4096,29/07/09,
41.190.192.0,41.190.223.255,8192,13/08/08,
41.202.224.0,41.202.255.255,8192,16/11/07,
41.210.128.0,41.210.191.255,16384,18/04/07,
41.220.0.0,41.220.15.255,4096,02/02/06,
41.220.208.0,41.220.223.255,4096,06/02/07,
41.221.80.0,41.221.95.255,4096,13/02/14,
154.0.128.0,154.0.143.255,4096,19/07/13,
154.72.192.0,154.72.223.255,8192,29/01/14,
196.0.0.0,196.0.255.255,65536,19/09/05,
196.43.128.0,196.43.191.255,16384,11/02/09,
197.157.0.0,197.157.63.255,16384,27/01/12,
197.221.128.0,197.221.159.255,8192,13/02/14,
197.239.0.0,197.239.63.255,16384,06/11/12,
212.88.96.0,212.88.127.255,8192,29/10/99,

